STATION,NAME,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00043256,"FRESNO 5 NE, CA US",2012-01,0,0,4,3,,,0,4,0,3,0,26,,,0.85,71,1282,423,1.30,,49.4,63.1,35.5
USC00043256,"FRESNO 5 NE, CA US",2012-02,0,0,5,3,,,0,0,0,10,0,36,,,0.17,77,1608,326,0.45,,53.4,66.8,39.9
USC00043256,"FRESNO 5 NE, CA US",2012-03,2,2,6,3,,,0,0,0,16,0,36,,,1.20,82,1873,266,2.01,,55.9,69.0,42.8
USC00043256,"FRESNO 5 NE, CA US",2012-04,70,68,7,5,,,0,1,0,22,3,31,,,0.58,98,2001,128,1.83,,62.9,77.6,48.1
USC00043256,"FRESNO 5 NE, CA US",2012-05,304,234,0,0,,,0,0,0,31,17,49,,,0.00,99,2008,7,0.00,,72.3,88.8,55.9
USC00043256,"FRESNO 5 NE, CA US",2012-06,629,325,0,0,,,0,0,0,25,18,51,,,0.00,107,2009,1,0.00,,78.0,94.6,61.3
USC00043256,"FRESNO 5 NE, CA US",2012-07,1117,488,0,0,,,0,0,0,28,26,59,,,0.00,109,0,0,0.00,,82.4,99.1,65.7
USC00043256,"FRESNO 5 NE, CA US",2012-08,1709,592,1,0,,,0,0,0,27,27,59,,,0.05,111,0,0,0.05,,86.9,104.6,69.3
USC00043256,"FRESNO 5 NE, CA US",2012-09,,,0,0,,,0,0,,,,57,,,0.00,,,,0.00,,,,62.8
USC00043256,"FRESNO 5 NE, CA US",2012-11,,10,7,4,,,0,0,0,15,0,33,,,0.27,87,,232,0.78,,57.4,69.4,45.3
USC00043256,"FRESNO 5 NE, CA US",2012-12,,0,13,7,,,0,6,0,0,0,30,,,0.58,68,,473,2.39,,49.7,58.8,40.7
USC00043256,"FRESNO 5 NE, CA US",2013-01,0,0,4,1,,,0,12,0,3,0,27,,,0.35,70,,502,0.45,,47.1,60.2,34.0
USC00043256,"FRESNO 5 NE, CA US",2013-02,0,0,3,3,,,0,0,0,9,0,35,,,0.49,75,,366,1.04,,51.0,64.7,37.3
USC00043256,"FRESNO 5 NE, CA US",2013-03,12,12,5,2,,,0,0,0,24,0,40,,,0.28,85,,124,0.63,,61.1,76.1,46.2
USC00043256,"FRESNO 5 NE, CA US",2013-04,112,99,3,0,,,0,1,0,29,6,32,,,0.07,96,,46,0.09,,66.8,82.2,51.4
USC00043256,"FRESNO 5 NE, CA US",2013-05,331,220,1,0,,,0,0,0,28,13,47,,,0.02,102,,11,0.02,,72.2,86.8,57.5
USC00043256,"FRESNO 5 NE, CA US",2013-06,794,463,0,0,,,0,0,0,28,27,55,,,0.00,109,,0,0.00,,81.5,98.1,64.9
